coauthor	all_isiks	all_viafs	localid
$aKunimägi, Johann,$d1868-1936	ISIK1624	""	696
$aKuningas, Oskar,$d1911-1997	ISIK1628	http://viaf.org/viaf/38173732	700
$aAunver, Jakob,$d1891-1978	ISIK163 ISIK6656 VEPER2173	http://viaf.org/viaf/75696498	702
$aKure, Kristjan,$d1890-1961	ISIK1631	http://viaf.org/viaf/3776147270600635700005	704
$aKurfeldt, Aita,$d1901-1979	ISIK1633	http://viaf.org/viaf/54263482	706
$aKurg, Henn-Ants,$d1898-1943	ISIK1634	""	707
$aKuris, Rudolf,$d1890-1950	ISIK1636 VEPER3666	http://viaf.org/viaf/2984152381766501950009	709
$aRond, Ralf,$cpseud.,$d1893-1981	ISIK1638	http://viaf.org/viaf/76148705691337080007	711
$aKurrik, Juhan,$d1849-1922	ISIK1640 VEPER3671	http://viaf.org/viaf/17598528	714
$aKurrik, Voldemar,$d1878-1925	ISIK1641 ISIK1642	http://viaf.org/viaf/5154681763047861037	715
$aKurs-Olesk, Minni,$d1879-1940	ISIK1644	http://viaf.org/viaf/301029743	717
$aKurtna, Aleksander,$d1914-1983	ISIK1646	http://viaf.org/viaf/28087622	719
$aKurvits, Oskar,$d1888-1940	ISIK1649	http://viaf.org/viaf/7149542906800302623	722
$aAaslava, Eleonore,$d1897-1996	ISIK1653	http://viaf.org/viaf/11149542815300301885	727
$aJaakson, Jüri,$d1870-1942	ISIK1657	http://viaf.org/viaf/1667149544572100490008	731
$aLeppik-Parasmaa, A	ISIK1659	""	733
$aLeppik-Parasmaa, A.	ISIK1659	""	733
$aLeps-Estam, Pauline,$d1903-2002	ISIK1660	http://viaf.org/viaf/2651149544580200490004	735
$aLesta, Rudolf,$d1885-1941	ISIK1663	http://viaf.org/viaf/2810152381765101950008	738
$aLezius, Hermann,$d1863-1928	ISIK1666	http://viaf.org/viaf/9264149544630700490003	741
$aLibe, Juhan,$d1904-1947	ISIK1670	""	746
$aLiblik, Friedrich David,$d1860-1937	ISIK1674	http://viaf.org/viaf/32149542628100300991	750
$aLiidak, Kaarel,$d1889-1945	ISIK1677	http://viaf.org/viaf/309729148	753
$aLiideman, Georg,$d1899-1977	ISIK1678 VEPER3059	http://viaf.org/viaf/35149542772300301264	754
$aLiigand, Oskar Karl Johann,$d1874-1940	ISIK1680	""	757
$aLiit, August,$d1889-1941	ISIK1683	""	760
$aLiiv, Arnold,$d1890-1973	ISIK1684	""	761
$aAvik, Eduard,$d1891-1942	ISIK169 ISIK6733	http://viaf.org/viaf/638149544564500490008	767
$aRamla, Elmar,$cpseud.,$d1899-1988	ISIK1693	http://viaf.org/viaf/25238035	771
$aKuusik, Paul	ISIK1698	http://viaf.org/viaf/738149544565400490009	776
$aKuusik, Paul,$d1890-1963	ISIK1698	http://viaf.org/viaf/738149544565400490009	776
$aKuusk, Andres,$d1874-1933	ISIK1699	http://viaf.org/viaf/17152380056601762039	777
$aAdams, Valmar,$d1899-1993	ISIK17 ISIK4751	http://viaf.org/viaf/311306250	778
$aAviksoo, Heinrich,$d1880-1942	ISIK170	http://viaf.org/viaf/19146522344432390973	779
$aKuusmann, Gustav	ISIK1703	""	783
$aKõiv, Arnold	ISIK1706	""	786
$aKuusik, Timotheos,$d1863-1940	ISIK1708	http://viaf.org/viaf/2605149544579900490004	788
$aКуузик, Тимотеус,$d1863-1940	ISIK1708	http://viaf.org/viaf/2605149544579900490004	788
$aKõiv, Peeter Friedrich,$d1866-1946	ISIK1710	http://viaf.org/viaf/47149542580500300375	791
$aLiiv, Jaan,$d?-1921	ISIK1712	""	793
$aLiiv, Jakob,$d1859-1938	ISIK1713	http://viaf.org/viaf/7145244345874480797	794
$aLiiv, Juhan,$d1864-1913	ISIK1715	http://viaf.org/viaf/7464941	796
$aLiiv, Otto,$d1905-1942	ISIK1717	http://viaf.org/viaf/256752510	798
$aLilenbach, Juhan,$d1870-1928	ISIK1721	http://viaf.org/viaf/1903147373402141580006	803
